hive	time	value
R26	1535500800000	17.973
R26	1535414400000	18.243
R26	1535328000000	18.424
R26	1535241600000	18.73
R26	1535155200000	19.033
R26	1535068800000	18.928
R26	1534982400000	19.036
R26	1534896000000	19.213
R26	1534809600000	19.528
R26	1534723200000	20.001
R26	1534636800000	20.692
R26	1534550400000	21.277
R26	1534464000000	21.876
R26	1534377600000	22.092
R26	1534291200000	22.564
R26	1534204800000	23.252
R26	1534118400000	23.991
R26	1534032000000	24.45
R26	1533945600000	25.006
R26	1533859200000	25.379
R26	1533772800000	25.405
R26	1533686400000	24.937
R26	1533600000000	24.164
R26	1533513600000	23.395
R26	1533427200000	22.667
R26	1533340800000	22.048
R26	1533254400000	21.49
R26	1533168000000	21.133
R26	1533081600000	20.946
R26	1532995200000	20.566
R26	1532908800000	20.121
R26	1532822400000	19.525
R26	1532736000000	18.988
R26	1532649600000	18.608
R26	1532563200000	18.337
R26	1532476800000	18.106
R26	1532390400000	18.091
R26	1532304000000	18.165
R26	1532217600000	18.566
R26	1532131200000	18.722
R26	1532044800000	18.709
R26	1531958400000	18.339
R26	1531872000000	18.296
R26	1531785600000	18.221
R26	1531699200000	17.989
R26	1531612800000	17.571
R26	1531526400000	17.151
R26	1531440000000	16.763
R26	1531353600000	16.548
R26	1531267200000	16.187
R26	1531180800000	15.956
R26	1531094400000	15.734
R26	1531008000000	15.479
R26	1530921600000	15.311
R26	1530835200000	14.872
R26	1530748800000	14.494
R26	1530662400000	13.814
R26	1530576000000	12.721
R26	1530489600000	11.581
R26	1530403200000	10.156
R26	1530316800000	8.511
R26	1530230400000	6.604
R26	1530144000000	4.446
R26	1530057600000	0.129
R26	1529971200000	0
R26	1529884800000	0
R26	1529798400000	0
R26	1529712000000	0
R26	1529625600000	0
R26	1529539200000	0
R26	1529452800000	0
R26	1529366400000	0
R26	1529280000000	0
R26	1529193600000	0
R26	1529107200000	0
R26	1529020800000	0
R26	1528934400000	0
R26	1528848000000	5.42
R26	1528761600000	17.289
R26	1528675200000	32.328
R26	1528588800000	45.478
R26	1528502400000	58.215
R26	1528416000000	69.399
R26	1528329600000	82.043
R26	1528243200000	90.799
R26	1528156800000	93.743
R26	1528070400000	93.873
R26	1527984000000	93.871
R26	1527897600000	93.873
R26	1527811200000	94.307
R26	1527724800000	94.77
R26	1527638400000	95.337
R26	1527552000000	95.755
R26	1527465600000	96.168
R26	1527379200000	96.463
R26	1527292800000	96.696
R26	1527206400000	96.549
R26	1527120000000	96.296
R26	1527033600000	95.738
R26	1526947200000	95.113
R26	1526860800000	94.392
R26	1526774400000	93.782
R26	1526688000000	93.327
R26	1526601600000	93.049
R26	1526515200000	92.846
R26	1526428800000	92.929
R26	1526342400000	93.462
R26	1526256000000	93.985
R26	1526169600000	94.5
R26	1526083200000	94.886
R26	1525996800000	95.236
R26	1525910400000	95.646
R26	1525824000000	95.959
R26	1525737600000	96.04
R26	1525651200000	96.194
R26	1525564800000	96.324
R26	1525478400000	96.499
R26	1525392000000	96.605
R26	1525305600000	96.597
R26	1525219200000	96.62
R26	1525132800000	96.625
R26	1525046400000	96.564
R26	1524960000000	96.716
R26	1524873600000	96.584
R26	1524787200000	96.606
R26	1524700800000	96.59
R26	1524614400000	96.618
R26	1524528000000	96.654
R26	1524441600000	96.797
R26	1524355200000	96.628
R26	1524268800000	96.536
R26	1524182400000	96.418
R26	1524096000000	96.423
R26	1524009600000	96.316
R26	1523923200000	96.267
R26	1523836800000	96.191
R26	1523750400000	96.169
R26	1523664000000	96.237
R26	1523577600000	96.277
R26	1523491200000	96.215
R26	1523404800000	96.27
R26	1523318400000	96.143
R26	1523232000000	95.986
R26	1523145600000	95.569
R26	1523059200000	94.918
R26	1522972800000	94.35
R26	1522886400000	93.873
R26	1522800000000	93.207
R26	1522713600000	91.94
R26	1522627200000	90.896
R26	1522540800000	90.293
R26	1522454400000	89.799
R26	1522368000000	89.11
R26	1522281600000	87.801
R26	1522195200000	85.307
R26	1522108800000	83.882
R26	1522022400000	83.29
R26	1521936000000	82.754
R26	1521849600000	82.447
R26	1521763200000	82.238
R26	1521676800000	81.933
R26	1521590400000	81.787
R26	1521504000000	79.248
R26	1521417600000	74.251
R26	1521331200000	62.605
R26	1521244800000	50.843
R26	1521158400000	34.371
R26	1521072000000	18.918
R26	1520985600000	1.313
R26	1520899200000	0
R26	1520812800000	0
R26	1520726400000	0
R26	1520640000000	0
R26	1520553600000	0
R26	1520467200000	0
R26	1520380800000	0
R26	1520294400000	0
R26	1520208000000	0
R26	1520121600000	0
R26	1520035200000	0
R26	1519948800000	0
R26	1519862400000	0
R26	1519776000000	0
R26	1519689600000	0
